Date,High,Low,Open,Close,Volume,Adj Close
2017-12-04,3290.0,3170.0,3200.0,3290.0,51195400.0,3121.841552734375
2017-12-05,3400.0,3300.0,3300.0,3400.0,58263700.0,3226.21923828125
2017-12-06,3450.0,3330.0,3380.0,3380.0,39383400.0,3207.241455078125
2017-12-07,3550.0,3370.0,3400.0,3550.0,23384000.0,3368.552490234375
2017-12-08,3550.0,3470.0,3550.0,3540.0,15956900.0,3359.063232421875
2017-12-11,3530.0,3380.0,3520.0,3450.0,26567000.0,3273.66357421875
2017-12-12,3470.0,3340.0,3410.0,3360.0,33973000.0,3188.263916015625
2017-12-13,3410.0,3320.0,3360.0,3360.0,15390700.0,3188.263916015625
2017-12-14,3400.0,3350.0,3390.0,3370.0,18380300.0,3197.752685546875
2017-12-15,3400.0,3340.0,3400.0,3370.0,15969100.0,3197.752685546875
2017-12-18,3460.0,3380.0,3380.0,3430.0,18649500.0,3254.685791015625
2017-12-19,3500.0,3440.0,3460.0,3480.0,21919700.0,3302.13037109375
2017-12-20,3520.0,3460.0,3500.0,3470.0,27321900.0,3292.641357421875
2017-12-21,3520.0,3480.0,3490.0,3510.0,21959300.0,3330.596923828125
2017-12-22,3530.0,3490.0,3510.0,3500.0,13047200.0,3321.108154296875
2017-12-25,3500.0,3500.0,3500.0,3500.0,0.0,3321.108154296875
2017-12-26,3500.0,3500.0,3500.0,3500.0,0.0,3321.108154296875
2017-12-27,3530.0,3490.0,3530.0,3490.0,17221500.0,3311.618896484375
2017-12-28,3530.0,3480.0,3500.0,3520.0,15146800.0,3340.085693359375
2017-12-29,3610.0,3520.0,3530.0,3570.0,17384200.0,3387.5302734375
2018-01-01,3570.0,3570.0,3570.0,3570.0,0.0,3387.5302734375
2018-01-02,3620.0,3560.0,3560.0,3590.0,8291500.0,3406.508056640625
2018-01-03,3600.0,3520.0,3590.0,3590.0,13671400.0,3406.508056640625
2018-01-04,3590.0,3370.0,3580.0,3460.0,18483400.0,3283.152587890625
2018-01-05,3520.0,3410.0,3460.0,3440.0,20321300.0,3264.175048828125
2018-01-08,3470.0,3420.0,3470.0,3420.0,25492100.0,3245.19677734375
2018-01-09,3520.0,3430.0,3450.0,3500.0,37737300.0,3321.108154296875
2018-01-10,3680.0,3510.0,3510.0,3610.0,30133500.0,3425.485595703125
2018-01-11,3660.0,3590.0,3660.0,3620.0,15755000.0,3434.974609375
2018-01-12,3670.0,3620.0,3660.0,3630.0,11233700.0,3444.46337890625
2018-01-15,3650.0,3600.0,3650.0,3640.0,6175100.0,3453.9521484375
2018-01-16,3660.0,3620.0,3630.0,3650.0,7805400.0,3463.441162109375
2018-01-17,3680.0,3650.0,3660.0,3670.0,12807000.0,3482.419189453125
2018-01-18,3690.0,3620.0,3670.0,3690.0,17928600.0,3501.396728515625
2018-01-19,3700.0,3620.0,3690.0,3660.0,10468500.0,3472.93017578125
2018-01-22,3690.0,3640.0,3670.0,3640.0,10127800.0,3453.9521484375
2018-01-23,3690.0,3640.0,3660.0,3690.0,19230300.0,3501.396728515625
