Date,High,Low,Open,Close,Volume,Adj Close
2017-12-08,2980.0,2920.0,2950.0,2940.0,6073400.0,2823.41064453125
2017-12-11,2950.0,2890.0,2940.0,2900.0,3394500.0,2784.996826171875
2017-12-12,3070.0,2900.0,2900.0,3070.0,6063500.0,2948.25537109375
2017-12-13,3100.0,3040.0,3100.0,3090.0,2996400.0,2967.462158203125
2017-12-14,3100.0,3040.0,3080.0,3050.0,5765900.0,2929.04833984375
2017-12-15,3080.0,2950.0,3080.0,3000.0,7271900.0,2881.03125
2017-12-18,3030.0,2910.0,2990.0,2990.0,4515800.0,2871.427734375
2017-12-19,2990.0,2930.0,2990.0,2950.0,3071900.0,2833.013916015625
2017-12-20,2980.0,2810.0,2910.0,2840.0,9533700.0,2727.376220703125
2017-12-21,2900.0,2840.0,2840.0,2880.0,4836400.0,2765.789794921875
2017-12-22,2890.0,2830.0,2870.0,2880.0,4370300.0,2765.789794921875
2017-12-25,2880.0,2880.0,2880.0,2880.0,0.0,2765.789794921875
2017-12-26,2880.0,2880.0,2880.0,2880.0,0.0,2765.789794921875
2017-12-27,2900.0,2860.0,2880.0,2890.0,2357900.0,2775.393310546875
2017-12-28,2970.0,2890.0,2890.0,2970.0,3844800.0,2852.220947265625
2017-12-29,3000.0,2960.0,2980.0,2960.0,2845800.0,2842.617431640625
2018-01-01,2960.0,2960.0,2960.0,2960.0,0.0,2842.617431640625
2018-01-02,3000.0,2870.0,3000.0,2880.0,3933100.0,2765.789794921875
2018-01-03,2920.0,2850.0,2900.0,2920.0,3648800.0,2804.20361328125
2018-01-04,2920.0,2860.0,2920.0,2920.0,5236700.0,2804.20361328125
2018-01-05,3050.0,2880.0,2880.0,3010.0,5863100.0,2890.63427734375
2018-01-08,3240.0,3010.0,3010.0,3210.0,9762200.0,3082.703125
2018-01-09,3380.0,3110.0,3210.0,3350.0,8158300.0,3217.151611328125
2018-01-10,3370.0,3210.0,3350.0,3230.0,5935100.0,3101.910400390625
2018-01-11,3300.0,3230.0,3230.0,3290.0,5848300.0,3159.53076171875
2018-01-12,3300.0,3180.0,3290.0,3200.0,5213300.0,3073.099853515625
2018-01-15,3260.0,3180.0,3260.0,3180.0,3646100.0,3053.89306640625
2018-01-16,3260.0,3190.0,3250.0,3220.0,3338200.0,3092.306884765625
2018-01-17,3260.0,3190.0,3220.0,3220.0,9114100.0,3092.306884765625
2018-01-18,3250.0,3190.0,3230.0,3200.0,4300500.0,3073.099853515625
2018-01-19,3210.0,3100.0,3200.0,3150.0,4172000.0,3025.082763671875
2018-01-22,3150.0,3000.0,3150.0,3000.0,8821900.0,2881.03125
2018-01-23,3110.0,3040.0,3050.0,3110.0,4231000.0,2986.668701171875
2018-01-24,3110.0,3070.0,3110.0,3090.0,2612400.0,2967.462158203125
